,precision,recall,f1-score,support
0,0.7870370370370371,0.85,0.8173076923076923,100.0
1,0.7916666666666666,0.7125,0.75,80.0
accuracy,0.7888888888888889,0.7888888888888889,0.7888888888888889,0.7888888888888889
macro avg,0.7893518518518519,0.78125,0.7836538461538461,180.0
weighted avg,0.7890946502057613,0.7888888888888889,0.7873931623931624,180.0
