Grupo,Participante,Minuto,C3,C4,CZ,EMG,F3,F4,F7,F8,FP1,FP2,FZ,LOG,O1,O2,P3,P4,PZ,ROG,T3,T4,T5,T6
0,EMV,1,1.45719138826342,1.4653618829317772,1.3898498357992295,1.469966141735579,1.4715845782256212,1.3833695741975223,1.4166814606260067,1.335027950430642,1.1721729735555448,1.166584001858118,1.3485889665860387,1.1132210675120355,1.4195047065851163,1.4601711571991445,1.4356262547071794,1.40117676115925,1.405440059683822,1.190717780466835,1.486129423770736,1.4555363574870575,1.4576637788603037,1.4641540020953658
0,EMV,10,1.4425641943722307,1.3726636584084984,1.3617939616798576,1.3103073096412787,1.4773908233651538,1.366440393117298,1.4390246060782954,1.269398966781348,1.2204728989193354,1.1817410934079768,1.3128555775466406,1.020435214054268,1.4177796962881413,1.4210806397846385,1.4104827689089194,1.3957526770411517,1.3934745631542358,1.11670037485127,1.4743669277850617,1.4132873191933086,1.4774520807143274,1.4125243622756047
0,EMV,11,1.4457383978553306,1.3978933619002858,1.3630177439883633,1.2464670796628097,1.4516925068980504,1.3727377752037146,1.3983083134072032,1.2857000655094082,1.2111661773431404,1.1949885253590995,1.286984051761207,1.0360731907847325,1.444137605677606,1.4345778955651662,1.4259992423716805,1.4117847672443766,1.4039128094264297,1.1187526178906346,1.47209892552274,1.4333045400504942,1.4849388427048917,1.4402987270057892
0,EMV,12,1.3815003148512572,1.4224624418923582,1.4433939691618793,1.4451016782151105,1.4220852458147129,1.4133005423412381,1.450778771970346,1.4049263754171464,1.3431409951190332,1.3066303340652041,1.4236802337418364,1.215097347138927,1.4278397056718177,1.4518165927462994,1.40359702516362,1.4340472940443232,1.4281699396137257,1.1670259846741422,1.428117107577348,1.4535022918756533,1.37369503141157,1.4373397874473557
0,EMV,13,1.4436647709055976,1.3550405328302968,1.3602138044490066,1.301061188349444,1.4741520647464401,1.3652560939768839,1.433039400964407,1.2817847810504348,1.2303949224490953,1.2146247668093846,1.3049814336269523,1.0233393850902244,1.4154452788099252,1.4022809285566984,1.3914820882791694,1.395755485265477,1.400138379863366,1.1392365607937793,1.4646034027964867,1.4042494167512416,1.4538138872389124,1.405437983869691
0,EMV,14,1.401563146774999,1.3868954543066818,1.3893327934725106,1.3689597435594418,1.4717842807786472,1.4297962552514454,1.4655500307575373,1.4272554331834222,1.2319405794442948,1.1990470853875281,1.3637585398025545,1.0368717924302469,1.3696775171839455,1.3217191711048568,1.3599803943281936,1.361018827379203,1.3771148499466537,1.108089779037149,1.3668071243004005,1.452110341942474,1.3800567023326002,1.3259682855955663
0,EMV,15,1.4440520466364815,1.3735548381200138,1.3630805661931513,1.3059954632162696,1.4773911926600265,1.3716513706220703,1.4375766946345492,1.2823877447562837,1.2123124982669526,1.1902063427597136,1.3131153818197316,1.0177250821865587,1.4123233280916416,1.4205058114953661,1.4109406074452628,1.395186559374929,1.397898767764639,1.1236879207554489,1.4689658113784176,1.4133140635303592,1.475017255096437,1.4124822828459747
0,EMV,16,1.4027211756990337,1.3857798678202,1.3969513786460543,1.3739930262075835,1.4709699471168556,1.4311535755545488,1.4669183196499824,1.4285778337064288,1.2331070377857782,1.199563260868269,1.3668842263007948,1.0366147028906714,1.3719628602025,1.3286132757999312,1.361319832816785,1.3615899284085542,1.3820083216995518,1.1082681980295237,1.3655915385635313,1.4514802494963048,1.3830101731649438,1.323409079326837
0,EMV,17,1.4972647345240362,1.4866904854678191,1.4518449786866379,1.5085199142798291,1.5081439069842935,1.484145775041255,1.515641200965525,1.4649542401085724,1.4519153192493683,1.3283311664969344,1.461797708207873,1.2961484282425981,1.4224227470944413,1.4511120974229026,1.4708064432454728,1.4583010801987375,1.4584583812514351,1.2956663849246175,1.4994725486380938,1.4855559956584599,1.4748498593051547,1.4477406198901293
0,EMV,18,1.4473510180823046,1.363154242189465,1.365682242678497,1.3008797047476104,1.4738353543410387,1.3714840387610885,1.4336251158163078,1.2830483268084616,1.2169182955524451,1.2068427827157844,1.3146436001876542,1.0137564962812207,1.4176283190201775,1.4027595027444937,1.39565672585254,1.4012220115359253,1.401969997926378,1.1378752044800633,1.4656533592983303,1.4132549093269897,1.455327335162265,1.411254935471895
